tcId,nTransfers,duration,cost,walkDistance,startTime,endTime,agencies,modes,routes,stops,details
25,4,8h32m27s,36286,815,07:42:33,16:15:00,Avinor|Innlandstrafikk|N-W|SKY|Vy Buss,AIRPLANE|BUS|COACH|TRAM,NW400|1|Oslo-Bergen|VY123|150,RB:NSR:Quay:105121|RB:NSR:Quay:51873|RB:NSR:Quay:51824|RB:NSR:Quay:51855|RB:NSR:Quay:1213|RB:NSR:Quay:1173|RB:NSR:Quay:9789|RB:NSR:Quay:17708|RB:NSR:Quay:17705|RB:NSR:Quay:13319,Walk 2m27s ~ Haugesund bussterminal(NSR:Quay:105121) ~ COACH NW400 7:45 10:35 ~ Lagunen terminal(NSR:Quay:51873) ~ Walk 54s ~ Lagunen terminal(NSR:Quay:51824) ~ TRAM 1 10:39:52 10:51:38 ~ Bergen lufthavn(NSR:Quay:51855) ~ Walk 2m48s ~ Bergen lufthavn(NSR:Quay:1213) ~ AIRPLANE null 12:00 12:50 ~ Oslo lufthavn(NSR:Quay:1173) ~ Walk 3m53s ~ Oslo lufthavn(NSR:Quay:9789) ~ COACH VY123 13:30 14:45 ~ Elverum skysstasjon(NSR:Quay:17708) ~ Walk 1m18s ~ Elverum skysstasjon(NSR:Quay:17705) ~ BUS 150 14:55 16:15
25,3,8h7m29s,34105,787,09:12:31,17:20:00,Avinor|N-W|SKY|Vy Buss,AIRPLANE|COACH|TRAM,VY190|1|Oslo-Bergen|NW130,RB:NSR:Quay:105123|RB:NSR:Quay:51870|RB:NSR:Quay:51824|RB:NSR:Quay:51855|RB:NSR:Quay:1213|RB:NSR:Quay:1173|RB:NSR:Quay:9786|RB:NSR:Quay:13319,Walk 2m29s ~ Haugesund bussterminal(NSR:Quay:105123) ~ COACH VY190 9:15 11:53 ~ Lagunen terminal(NSR:Quay:51870) ~ Walk 2m2s ~ Lagunen terminal(NSR:Quay:51824) ~ TRAM 1 12:01:52 12:13:38 ~ Bergen lufthavn(NSR:Quay:51855) ~ Walk 2m48s ~ Bergen lufthavn(NSR:Quay:1213) ~ AIRPLANE null 13:00 13:55 ~ Oslo lufthavn(NSR:Quay:1173) ~ Walk 3m38s ~ Oslo lufthavn(NSR:Quay:9786) ~ COACH NW130 14:45 17:20
25,3,8h37m27s,35685,703,08:42:33,17:20:00,Avinor|N-W|SKY,AIRPLANE|COACH|TRAM,NW400|1|Oslo-Bergen|NW130,RB:NSR:Quay:105121|RB:NSR:Quay:51873|RB:NSR:Quay:51824|RB:NSR:Quay:51855|RB:NSR:Quay:1213|RB:NSR:Quay:1173|RB:NSR:Quay:9786|RB:NSR:Quay:13319,Walk 2m27s ~ Haugesund bussterminal(NSR:Quay:105121) ~ COACH NW400 8:45 11:35 ~ Lagunen terminal(NSR:Quay:51873) ~ Walk 54s ~ Lagunen terminal(NSR:Quay:51824) ~ TRAM 1 11:39:52 11:51:38 ~ Bergen lufthavn(NSR:Quay:51855) ~ Walk 2m48s ~ Bergen lufthavn(NSR:Quay:1213) ~ AIRPLANE null 13:00 13:55 ~ Oslo lufthavn(NSR:Quay:1173) ~ Walk 3m38s ~ Oslo lufthavn(NSR:Quay:9786) ~ COACH NW130 14:45 17:20
25,4,8h27m15s,35790,683,08:52:45,17:20:00,Avinor|N-W|SKY,AIRPLANE|BUS|COACH|TRAM,700|NW400|1|Oslo-Bergen|NW130,RB:NSR:Quay:105124|RB:NSR:Quay:52847|RB:NSR:Quay:51873|RB:NSR:Quay:51824|RB:NSR:Quay:51855|RB:NSR:Quay:1213|RB:NSR:Quay:1173|RB:NSR:Quay:9786|RB:NSR:Quay:13319,Walk 2m15s ~ Haugesund bussterminal(NSR:Quay:105124) ~ BUS 700 8:55 9:20 ~ Haukås terminal(NSR:Quay:52847) ~ COACH NW400 9:40 11:55 ~ Lagunen terminal(NSR:Quay:51873) ~ Walk 54s ~ Lagunen terminal(NSR:Quay:51824) ~ TRAM 1 12:01:52 12:13:38 ~ Bergen lufthavn(NSR:Quay:51855) ~ Walk 2m48s ~ Bergen lufthavn(NSR:Quay:1213) ~ AIRPLANE null 13:00 13:55 ~ Oslo lufthavn(NSR:Quay:1173) ~ Walk 3m38s ~ Oslo lufthavn(NSR:Quay:9786) ~ COACH NW130 14:45 17:20
25,4,8h55m29s,37886,899,09:12:31,18:08:00,Avinor|Innlandstrafikk|SKY|Vy Buss,AIRPLANE|BUS|COACH|TRAM,VY190|1|Oslo-Bergen|VY123|150,RB:NSR:Quay:105123|RB:NSR:Quay:51870|RB:NSR:Quay:51824|RB:NSR:Quay:51855|RB:NSR:Quay:1213|RB:NSR:Quay:1173|RB:NSR:Quay:9789|RB:NSR:Quay:17708|RB:NSR:Quay:17705|RB:NSR:Quay:13319,Walk 2m29s ~ Haugesund bussterminal(NSR:Quay:105123) ~ COACH VY190 9:15 11:53 ~ Lagunen terminal(NSR:Quay:51870) ~ Walk 2m2s ~ Lagunen terminal(NSR:Quay:51824) ~ TRAM 1 12:01:52 12:13:38 ~ Bergen lufthavn(NSR:Quay:51855) ~ Walk 2m48s ~ Bergen lufthavn(NSR:Quay:1213) ~ AIRPLANE null 13:00 13:55 ~ Oslo lufthavn(NSR:Quay:1173) ~ Walk 3m53s ~ Oslo lufthavn(NSR:Quay:9789) ~ COACH VY123 14:30 15:45 ~ Elverum skysstasjon(NSR:Quay:17708) ~ Walk 1m18s ~ Elverum skysstasjon(NSR:Quay:17705) ~ BUS 150 16:55 18:08
27,2,3h10m49s,15694,715,15:56:11,19:07:00,Avinor|Snelandia|Svipper,AIRPLANE|BUS,42|Tromsø-Tromsø|30,RB:NSR:Quay:90611|RB:NSR:Quay:95088|RB:NSR:Quay:1190|RB:NSR:Quay:1174|RB:NSR:Quay:98025|RB:NSR:Quay:97186,Tromsø Prostneset(NSR:Quay:101988) ~ Walk 2m49s ~ Bankgata(NSR:Quay:90611) ~ BUS 42 15:59 16:20 ~ Tromsø lufthavn(NSR:Quay:95088) ~ Walk 2m34s ~ Tromsø lufthavn(NSR:Quay:1190) ~ AIRPLANE null 17:00 18:20 ~ Hammerfest lufthavn(NSR:Quay:1174) ~ Walk 4m21s ~ REMA Fuglenes(NSR:Quay:98025) ~ BUS 30 18:42 19:07
27,2,2h53m,14035,509,16:44:00,19:37:00,Avinor|Snelandia|Svipper,AIRPLANE|BUS,425|Tromsø-Vadsø|30,RB:NSR:Quay:95088|RB:NSR:Quay:1190|RB:NSR:Quay:1174|RB:NSR:Quay:98025|RB:NSR:Quay:97186,Tromsø Prostneset(NSR:Quay:101982) ~ BUS 425 16:44 17:03 ~ Tromsø lufthavn(NSR:Quay:95088) ~ Walk 2m34s ~ Tromsø lufthavn(NSR:Quay:1190) ~ AIRPLANE null 17:45 18:30 ~ Hammerfest lufthavn(NSR:Quay:1174) ~ Walk 4m21s ~ REMA Fuglenes(NSR:Quay:98025) ~ BUS 30 19:12 19:37
28,0,12m30s,1623,92,16:06:33,16:19:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 16:07 16:18 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,16:07:33,16:23:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 16:08 16:22 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,16:13:33,16:26:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 16:14 16:25 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,16:17:33,16:33:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 16:18 16:32 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,16:21:33,16:34:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 16:22 16:33 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,16:22:33,16:38:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 16:23 16:37 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,16:28:33,16:41:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 16:29 16:40 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,16:32:33,16:48:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 16:33 16:47 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,16:36:33,16:49:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 16:37 16:48 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,16:37:33,16:53:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 16:38 16:52 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,16:43:33,16:56:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 16:44 16:55 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,16:47:33,17:03:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 16:48 17:02 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,16:51:33,17:04:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 16:52 17:03 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,16:52:33,17:08:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 16:53 17:07 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,16:58:33,17:11:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 16:59 17:10 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,17:02:33,17:18:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 17:03 17:17 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,17:06:33,17:19:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 17:07 17:18 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,15m30s,1803,92,17:07:33,17:23:03,RUT,BUS,20,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 20 17:08 17:22 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
28,0,12m30s,1623,92,17:13:33,17:26:03,RUT,BUS,28,RB:NSR:Quay:11598|RB:NSR:Quay:11861,Walk 27s ~ Marienlyst(NSR:Quay:11598) ~ BUS 28 17:14 17:25 ~ Københavngata(NSR:Quay:11861) ~ Walk 1m3s
